Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 20 16 00 271.6929 1.0921
2013 01 20 17 00 246.5409 0.8271
2013 01 20 18 00 122.9088 0.4510
2013 01 20 19 00 118.9479 0.5140
2013 01 20 20 00 246.6726 0.9765
2013 01 20 21 00 270.3860 1.8182
2013 01 20 22 00 275.5912 2.8611
2013 01 20 23 00 273.1702 3.5951
2013 01 20 24 00 277.5878 3.1651
2013 01 21 01 00 271.4038 3.0706
2013 01 21 02 00 275.1378 2.0558
2013 01 21 03 00 230.0271 0.7808
2013 01 21 04 00 232.0529 1.2972
2013 01 21 05 00 234.2087 0.8081
2013 01 21 06 00 -9999.00 1.3004
2013 01 21 07 00 236.4626 2.0326
2013 01 21 08 00 240.7290 1.7267
2013 01 21 09 00 241.6536 1.5044
2013 01 21 10 00 275.8489 1.4479
2013 01 21 11 00 278.3322 2.0286
2013 01 21 12 00 280.5000 2.1560
2013 01 21 13 00 272.3398 2.1022
2013 01 21 14 00 226.5343 0.7378
2013 01 21 15 00 242.4060 0.6454
2013 01 21 16 00 295.2246 0.6525
2013 01 21 17 00 122.6870 0.4579
2013 01 21 18 00 99.9279 0.6828
2013 01 21 19 00 305.4735 0.7636
2013 01 21 20 00 312.9725 0.6029
2013 01 21 21 00 276.2936 1.6674
2013 01 21 22 00 279.7941 1.3776
2013 01 21 23 00 252.3154 1.9706
2013 01 21 24 00 276.5233 1.4564
2013 01 22 01 00 285.7839 1.7201
2013 01 22 02 00 270.7772 1.7804
2013 01 22 03 00 276.8141 2.4665
